hs12,description
620449,"Dresses; women's or girls', of textile materials n.e.c. in item no. 6204.4 (not knitted or crocheted)"
620451,"Skirts and divided skirts; women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620452,"Skirts and divided skirts; women's or girls', of cotton (not knitted or crocheted)"
620453,"Skirts and divided skirts; women's or girls', of synthetic fibres (not knitted or crocheted)"
620459,"Skirts and divided skirts; women's or girls', of textile materials n.e.c. in item no. 6204.5 (not knitted or crocheted)"
620461,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620462,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of cotton (not knitted or crocheted)"
620463,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of synthetic fibres (not knitted or crocheted)"
620469,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of textile materials (other than wool, fine animal hair, cotton or synthetic fibres), (not knitted or crocheted)"
6205,Shirts; men's or boys' (not knitted or crocheted)
620520,"Shirts; men's or boys', of cotton (not knitted or crocheted)"
620530,"Shirts; men's or boys', of man-made fibres (not knitted or crocheted)"
620590,"Shirts; men's or boys', of textile materials n.e.c. in heading no. 6205 (not knitted or crocheted)"
6206,"Blouses, shirts and shirt-blouses; women's or girls' (not knitted or crocheted)"
620610,"Blouses, shirts and shirt-blouses; women's or girls', of silk or silk waste (not knitted or crocheted)"
620620,"Blouses, shirts and shirt-blouses; women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620630,"Blouses, shirts and shirt-blouses; women's or girls', of cotton (not knitted or crocheted)"
620640,"Blouses, shirts and shirt-blouses; women's or girls', of man-made fibres (not knitted or crocheted)"
620690,"Blouses, shirts and shirt-blouses; women's or girls', of textile materials n.e.c. in heading no. 6206 (not knitted or crocheted)"
6207,"Singlets and other vests, underpants, briefs, night-shirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys' (not knitted or crocheted)"
620711,"Underpants and briefs; men's or boys', of cotton (not knitted or crocheted)"
620719,"Underpants and briefs; men's or boys', of textile materials other than cotton (not knitted or crocheted)"
620721,"Nightshirts and pyjamas; men's or boys', of cotton (not knitted or crocheted)"
620722,"Nightshirts and pyjamas; men's or boys', of man-made fibres (not knitted or crocheted)"
620729,"Nightshirts and pyjamas; men's or boys', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
620791,"Singlets and other vests, bathrobes, dressing gowns and similar articles; men's or boys', of cotton (not knitted or crocheted)"
620799,"Singlets and other vests, bathrobes, dressing gowns and similar articles; men's or boys', of textile materials other than cotton (not knitted or crocheted)"
6208,"Singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls' (not knitted or crocheted)"
620811,"Slips and petticoats; women's or girls', of man-made fibres (not knitted or crocheted)"
620819,"Slips and petticoats; women's or girls', of textile materials other than man-made fibres (not knitted or crocheted)"
620821,"Nightdresses and pyjamas; women's or girls', of cotton (not knitted or crocheted)"
620822,"Nightdresses and pyjamas; women's or girls', of man-made fibres (not knitted or crocheted)"
620829,"Nightdresses and pyjamas; women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
620891,"Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles; women's or girls', of cotton (not knitted or crocheted)"
620892,"Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns etc.; women's or girls', of man-made fibres (not knitted or crocheted), excluding incontinence or other sanitary garments or garment liners of heading no. 96.19"
620899,"Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles; women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
6209,Garments and clothing accessories; babies' (not knitted or crocheted)
620920,"Garments and clothing accessories; babies', of cotton (not knitted or crocheted)"
620930,"Garments and clothing accessories; babies', of synthetic fibres (not knitted or crocheted)"
620990,"Garments and clothing accessories; babies', of textile materials other than cotton or synthetic fibres (not knitted or crocheted)"
6210,"Garments made up of fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
621010,Garments; of felt or non-wovens (not knitted or crocheted)
621020,"Garments; overcoats, raincoats, car-coats, capes, cloaks and similar articles, men's or boys', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
621030,"Garments; overcoats, raincoats, car-coats, capes, cloaks and similar articles, women's or girls', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
621040,"Garments; men's or boys', n.e.c. in item no. 6210.2, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
621050,"Garments; women's or girls', n.e.c. in item no. 6210.3, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
6211,"Track suits, swimwear and other garments (not knitted or crocheted)"
621111,"Swimwear; men's or boys', (not knitted or crocheted)"
621112,"Swimwear; women's or girls', (not knitted or crocheted)"
621120,Ski suits; (not knitted or crocheted)
621132,"Track suits and other garments n.e.c.; men's or boys', of cotton (not knitted or crocheted)"
621133,"Track suits and other garments n.e.c.; men's or boys', of man-made fibres (not knitted or crocheted)"
621139,"Track suits and other garments n.e.c.; men's or boys', of textile materials n.e.c. in item no. 6211.3 (not knitted or crocheted)"
621142,"Track suits and other garments n.e.c.; women's or girls', of cotton (not knitted or crocheted)"
621143,"Track suits and other garments n.e.c.; women's or girls', of man-made fibres (not knitted or crocheted)"
621149,"Track suits and other garments n.e.c.; women's or girls', of textile materials n.e.c. in item no. 6211.4 (not knitted or crocheted)"
6212,"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof; whether or not knitted or crocheted"
621210,Brassieres; whether or not knitted or crocheted
621220,Girdles and panty-girdles; whether or not knitted or crocheted
621230,Corselettes; whether or not knitted or crocheted
621290,"Braces, suspenders, garters and similar articles; whether or not knitted or crocheted, n.e.c. in heading no. 6212"
6213,Handkerchiefs (not knitted or crocheted)
621320,Handkerchiefs; of cotton (not knitted or crocheted)
621390,Handkerchiefs; of textile materials other than cotton (not knitted or crocheted)
6214,"Shawls, scarves, mufflers, mantillas, veils and the like (not knitted or crocheted)"
621410,"Shawls, scarves, mufflers, mantillas, veils and the like; of silk or silk waste (not knitted or crocheted)"
621420,"Shawls, scarves, mufflers, mantillas, veils and the like; of wool or fine animal hair (not knitted or crocheted)"
621430,"Shawls, scarves, mufflers, mantillas, veils and the like; of synthetic fibres (not knitted or crocheted)"
621440,"Shawls, scarves, mufflers, mantillas, veils and the like; of artificial fibres (not knitted or crocheted)"
621490,"Shawls, scarves, mufflers, mantillas, veils and the like; of textile materials n.e.c. in heading no. 6214 (not knitted or crocheted)"
6215,"Ties, bow ties and cravats (not knitted or crocheted)"
621510,"Ties, bow ties and cravats; of silk or silk waste (not knitted or crocheted)"
621520,"Ties, bow ties and cravats; of man-made fibres (not knitted or crocheted)"
621590,"Ties, bow ties and cravats; of textile materials other than silk or man-made fibres (not knitted or crocheted)"
6216,"Gloves, mittens and mitts (not knitted or crocheted)"
621600,"Gloves, mittens and mitts (not knitted or crocheted)"
6217,Clothing accessories n.e.c.; parts of garments or accessories other than those of heading no. 6212 (not knitted or crocheted)
621710,Clothing accessories; other than those of heading no. 6212 (not knitted or crocheted)
621790,"Clothing; parts of garments or of clothing accessories, other than those of heading no. 6212 (not knitted or crocheted)"
63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags"
6301,Blankets and travelling rugs
630110,Blankets; electric
630120,Blankets (other than electric blankets) and travelling rugs; of wool or fine animal hair
630130,Blankets (other than electric blankets) and travelling rugs; of cotton
630140,Blankets (other than electric blankets) and travelling rugs; of synthetic fibres
630190,Blankets and travelling rugs; n.e.c. in heading no. 6301
6302,"Bed linen, table linen, toilet linen and kitchen linen"
630210,Bed linen; knitted or crocheted
630221,"Bed linen; of cotton, printed, not knitted or crocheted"
630222,"Bed linen; of man-made fibres, printed, not knitted or crocheted"
630229,"Bed linen; of textile materials (other than cotton or man-made fibres), printed, not knitted or crocheted"
630231,"Bed linen; of cotton (not printed, knitted or crocheted)"
630232,"Bed linen; of man-made fibres (not printed, knitted or crocheted)"
630239,"Bed linen; of textile materials other than cotton or man-made fibres (not printed, knitted or crocheted)"
630240,Table linen; knitted or crocheted
630251,"Table linen; of cotton, not knitted or crocheted"
630253,"Table linen; of man-made fibres, not knitted or crocheted"
630259,"Table linen; of textile materials (other than cotton or man-made fibres), not knitted or crocheted"
630260,"Kitchen and toilet linen; of terry towelling or similar terry fabrics, of cotton"
630291,"Toilet and kitchen linen; of cotton, excluding terry towelling or similar terry fabrics"
630293,Toilet and kitchen linen; of man-made fibres
630299,Toilet and kitchen linen; of textile materials (other than cotton or man-made fibres)
6303,Curtains (including drapes) and interior blinds; curtain or bed valances
630312,"Curtains (including drapes) and interior blinds; curtain or bed valances, knitted or crocheted, of synthetic fibres"
630319,"Curtains (including drapes) and interior blinds; curtain or bed valances, knitted or crocheted, of textile materials other than synthetic fibres"
630391,"Curtains (including drapes) and interior blinds, curtain or bed valances; of cotton, not knitted or crocheted"
630392,"Curtains (including drapes) and interior blinds, curtain or bed valances; of synthetic fibres, not knitted or crocheted"
630399,"Curtains (including drapes) and interior blinds, curtain or bed valances; of textile materials other than cotton or synthetic fibres, not knitted or crocheted"
6304,Furnishing articles; excluding those of heading no. 9404
630411,Bedspreads; knitted or crocheted
630419,Bedspreads; not knitted or crocheted
630491,"Furnishing articles; excluding those of heading no. 9404, knitted or crocheted (excluding bedspreads)"
630492,"Furnishing articles; of cotton, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404)"
630493,"Furnishing articles; of synthetic fibres, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404)"
630499,"Furnishing articles; of textile materials other than cotton or synthetic fibres, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404)"
6305,"Sacks and bags, of a kind used for the packing of goods"
630510,"Sacks and bags; of a kind used for the packing of goods, of jute or of other textile bast fibres of heading no. 5303"
630520,"Sacks and bags; of a kind used for the packing of goods, of cotton"
630532,"Sacks and bags; of a kind used for the packing of goods, of man-made textile materials, flexible intermediate bulk containers"
630533,"Sacks and bags; of a kind used for the packing of goods, of man-made textile materials, of polyethylene or polypropylene strip or the like, not flexible intermediate bulk containers"
630539,"Sacks and bags; of a kind used for the packing of goods, of man-made textile materials, not of polyethylene or polypropylene strip or the like, not flexible intermediate bulk containers"
630590,"Sacks and bags; of a kind used for the packing of goods, of textile materials (other than jute, cotton or man-made textile materials)"
6306,"Tarpaulins, awnings and sunblinds; tents; sails for boats, sailboards or landcraft; camping goods"
630612,"Tarpaulins, awnings and sunblinds; of synthetic fibres"
630619,"Tarpaulins, awnings and sunblinds; of textile materials other than synthetic fibres"
630622,Tents; of synthetic fibres
630629,Tents; of textile materials other than synthetic fibres
630630,"Sails; for boats, sailboards or landcraft"
630640,Camping goods; pneumatic mattresses
630690,"Camping goods; (of textile materials), n.e.c in heading no. 6306"
6307,"Textiles; made up articles n.e.c. in chapter 63, including dress patterns"
630710,"Cloths; floor cloths, dish-cloths, dusters and similar cleaning cloths"
630720,Life-jackets and life-belts
630790,"Textiles; made up articles (including dress patterns), n.e.c. in chapter 63, n.e.c. in heading no. 6307"
6308,"Textiles; sets of woven fabric and yarn, with or without accessories, for making into rugs, tapestries, embroidered tablecloths, serviettes and similar textile articles, in packings for retail sale"
630800,"Fabrics, woven and yarn; in sets, whether or not with accessories, for making up into rugs, tapestries, embroidered table cloths or serviettes or similar textile articles, packaged for retail sale"
6309,Textiles; worn clothing and other worn articles
630900,"Clothing; worn, and other worn articles"
6310,"Rags; used or new, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials"
631010,"Rags; used or new, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials; sorted"
631090,"Rags; used or new, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials; other than sorted"
64,Footwear; gaiters and the like; parts of such articles
6401,"Footwear; waterproof, with outer soles and uppers of rubber or plastics, (uppers not fixed to the sole nor assembled by stitch, rivet, nail, screw, plug or similar)"
640110,"Footwear; waterproof with metal toe-cap, rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)"
640192,"Footwear; waterproof, covering the ankle (but not the knee), rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)"
640199,"Footwear; waterproof, n.e.c. in heading no. 6401, rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)"
6402,Footwear; with outer soles and uppers of rubber or plastics (excluding waterproof footwear)
640212,"Sports footwear; with outer soles and uppers of rubber or plastics, ski-boots, cross-country ski footwear and snowboard boots"
640219,"Sports footwear; (other than ski-boots, snowboard boots or cross-country ski footwear), with outer soles and uppers of rubber or plastics"
640220,"Footwear; with outer soles and uppers of rubber or plastics, upper straps or thongs assembled to the sole by plugs"
640291,"Footwear; n.e.c. in heading no. 6402, covering the ankle, with outer soles and uppers of rubber or plastics"
640299,"Footwear; n.e.c. in heading no. 6402, (other than just covering the ankle), with outer soles and uppers of rubber or plastics"
6403,"Footwear; with outer soles of rubber, plastics, leather or composition leather and uppers of leather"
640312,"Sports footwear; with outer soles of rubber, plastics, leather or composition leather and uppers of leather, ski-boots, snowboard boots and cross-country ski footwear"
640319,"Sports footwear; (other than ski-boots, snowboard boots or cross-country ski footwear), with outer soles of rubber, plastics, leather or composition leather and uppers of leather"
640320,"Footwear; with outer soles of leather, uppers consisting of leather straps across instep and around the big toe"
640340,"Footwear; with metal toe-cap, outer soles of rubber, plastics, leather or composition leather, uppers of leather"
640351,"Footwear; n.e.c. in heading no. 6403, with outer soles and uppers of leather, covering the ankle"
640359,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles and uppers of leather"
640391,"Footwear; n.e.c. in heading no. 6403, covering the ankle, outer soles of rubber, plastics or composition leather, uppers of leather"
640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather"
6404,"Footwear; with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials"
640411,"Sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like, with outer soles of rubber or plastics and uppers of textile materials"
640419,"Footwear; (other than sportswear), with outer soles of rubber or plastics and uppers of textile materials"
640420,"Footwear; outer soles of leather or composition leather, uppers of textile materials"
6405,Footwear; other footwear n.e.c. in chapter 64
640510,"Footwear; with uppers of leather or composition leather, n.e.c. in chapter 64"
640520,"Footwear; with uppers of textile materials, n.e.c. in chapter 64"
640590,Footwear; n.e.c. in chapter 64
6406,"Footwear; parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, le.g.ings and similar articles, and parts thereof"
640610,"Footwear; parts, uppers and parts thereof, other than stiffeners"
640620,"Footwear; parts, outer soles and heels, of rubber or plastics"
640690,"Footwear; parts, n.e.c. in heading 6406"
65,Headgear and parts thereof
6501,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons) of felt"
650100,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons) of felt"
6502,"Hat-shapes; plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed"
650200,"Hat-shapes; plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed"
6504,"Hats and other headgear; plaited or made by assembling strips of any material, whether or not lined or trimmed"
650400,"Hats and other headgear; plaited or made by assembling strips of any material, whether or not lined or trimmed"
6505,"Hats and other headgear; knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed"
650500,"Hats and other headgear; knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed"
6506,"Headgear; n.e.c. in chapter 65, whether or not lined or trimmed"
650610,"Headgear; safety, whether or not lined or trimmed"
650691,"Headgear; (other than safety headgear), of rubber or plastics, whether or not lined or trimmed"
650699,"Headgear; (other than safety headgear), (of materials other than rubber or plastic), whether or not lined or trimmed"
6507,"Head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear"
650700,"Head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps; for headgear"
66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof"
6601,"Umbrellas; sun umbrellas (including walking stick umbrellas, garden umbrellas and similar umbrellas)"
660110,Umbrellas and sun umbrellas; garden or similar umbrellas
660191,"Umbrellas and sun umbrellas; having a telescopic shaft, (excluding garden or similar umbrellas)"
660199,Umbrellas and sun umbrellas; n.e.c. in heading no. 6601 (including walking stick umbrellas)
6602,"Walking-sticks, seat-sticks, whips, riding-crops and the like"
660200,"Walking-sticks, seat-sticks, whips, riding-crops and the like"
6603,"Trimmings, parts and accessories of articles of heading no. 6601 or 6602"
660320,Umbrella frames; including frames mounted on shafts (sticks)
660390,"Trimmings, accessories and parts of articles of heading no. 6601 or 6602; n.e.c. in heading no. 6603"
67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair"
6701,"Skin and other parts of birds with their feather or down; feathers, parts of feather, down and articles thereof (other than goods of heading no. 0505 and worked quills and scapes)"
670100,"Skins and other parts of birds with their feathers or down; feathers, parts of feathers, down and articles thereof (other than goods of heading no. 0505 and worked quills and scapes)"
6702,"Flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit"
670210,"Flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit, of plastics"
670290,"Flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit, of materials other than plastics"
6703,"Human hair, dressed, thinned, bleached or otherwise worked; wool or other animal hair or other textile materials, prepared for use in making wigs or the like"
670300,"Human hair, dressed, thinned, bleached or otherwise worked; wool or other animal hair or other textile materials, prepared for use in making wigs or the like"
6704,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair, n.e.c. or included"
670411,"Wigs; complete, of synthetic textile materials"
670419,"False beards, eyebrows and eyelashes, switches and the like; of synthetic textile materials"
670420,"Wigs, false beards, eyebrows and eyelashes, switches and the like and other articles n.e.c.; of human hair"
670490,"Wigs, false beards, eyebrows and eyelashes, switches and the like and other articles n.e.c.; of animal hair or of textile materials other than synthetic"
68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof"
6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
680100,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
6802,"Monumental or building stone, worked (except slate) and articles thereof (not of heading no. 6801) mosaic cubes etc., of natural stone including slate; artificially coloured granules of natural stone"
680210,"Tiles, cubes and similar articles; whether or not rectangular (including square), largest surface area of which is capable of being enclosed in square, side less than 7cm, coloured granules, chippings, powder"
680221,"Marble, travertine and alabaster; simply cut or sawn, with a flat or even surface"
680223,"Granite; articles thereof, simply cut or sawn, with a flat or even surface"
680229,"Stone; monumental or building stone, n.e.c. in item no. 6802.2, articles thereof, simply cut or sawn, with a flat or even surface"
680291,"Marble, travertine and alabaster; articles thereof, (other than simply cut or sawn, with a flat or even surface)"
680292,"Stone; calcareous (excluding marble, travertine, alabaster) articles thereof, (other than simply cut or sawn, with a flat or even surface)"
680293,"Granite; articles thereof, (other than simply cut or sawn, with a flat or even surface)"
680299,"Stone; natural (excluding marble, travertine, alabaster, other calcareous stone or granite), monumental or building stone, (other than simply cut or sawn, with a flat or even surface)"
6803,"Slate, worked; and articles of slate or of agglomerated slate"
680300,"Slate, worked; and articles of slate or of agglomerated slate"
6804,"Millstones, grindstones, grinding wheels, etc without frameworks, for grinding, sharpening, polishing, etc and parts thereof, natural stone, agglomerated natural or artificial abrasives or of ceramics"
680410,"Millstones and grindstones; for milling, grinding or pulping"
680421,"Millstones, grindstones, grinding wheels and the like; of agglomerated synthetic or natural diamond"
680422,"Millstones, grindstones, grinding wheels and the like; of other agglomerated abrasives or of ceramics"
680423,"Millstones, grindstones, grinding wheels and the like; of natural stone"
680430,"Stones; hand sharpening or polishing stones, of natural stone, agglomerated natural or artificial abrasives or ceramics, with or without parts of other materials"
6805,"Abrasive powder or grain; natural or artificial, on a base of textile material, of paper, paperboard or of other material, whether or not cut to shape or sewn or otherwise made up"
680510,"Abrasive powder or grain; natural or artificial, on a base of woven textile fabric only, whether or not cut to shape or sewn or otherwise made up"
680520,"Abrasive powder or grain; natural or artificial, on a base of paper or paperboard only, whether or not cut to shape or sewn or otherwise made up"
680530,"Abrasive powder or grain; natural or artificial, on a base of materials n.e.c. in heading no. 6805, whether or not cut to shape or sewn or otherwise made up"
6806,"Slag, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays, foamed slag, mixtures and articles of heat, sound insulating or sound-absorbing mineral materials"
680610,"Slag wool, rock wool and similar mineral wools (including intermixtures thereof), in bulk, sheets or rolls"
680620,"Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials (including intermixtures thereof)"
680690,"Minerals; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those of heading no. 6811 or 6812 or of chapter 69"
6807,Asphalt or similar material; articles (e.g. petroleum bitumen or coal tar pitch)
680710,Asphalt or similar material; articles (e.g. petroleum bitumen or coal tar pitch) in rolls
680790,Asphalt or similar material; articles (e.g. petroleum bitumen or coal tar pitch) other than in rolls
6808,"Panels, boards, tiles, blocks and the like; of vegetable fibre, of straw, shavings, chips, particles, sawdust or other waste, of wood, agglomerated with cement, plaster or other mineral binders"
680800,"Panels, boards, tiles, blocks and the like; of vegetable fibre, of straw, shavings, chips, particles, sawdust or other waste, of wood, agglomerated with cement, plaster or other mineral binders"
6809,Plaster or compositions based on plaster; articles thereof
680911,"Plaster, or plaster compositions; boards, sheets, panels, tiles and similar articles, faced or reinforced with paper or paperboard only, not ornamented"
680919,"Plaster, or plaster compositions; boards, sheets, panels, tiles and similar articles, (other than faced or reinforced with paper or paperboard only), not ornamented"
680990,Plaster articles or articles of compositions based on plaster; n.e.c. in heading no. 6809
6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof"
681011,"Cement, concrete or artificial stone; building blocks or bricks, whether or not reinforced"
681019,"Cement, concrete or artificial stone; tiles, flagstones and similar, (excluding building blocks and bricks) whether or not reinforced"
681091,"Cement, concrete or artificial stone; prefabricated structural components for building or civil engineering, whether or not reinforced"
681099,"Cement, concrete or artificial stone; articles (other than prefabricated structural components for building or civil engineering), whether or not reinforced, n.e.c. in heading no. 6810"
6811,"Asbestos-cement, of cellulose fibre-cement or the like"
681140,"Asbestos-cement; articles or the like, containing asbestos"
681181,"Cellulose fibre-cement; articles or the like; corrugated sheets, not containing asbestos"
681182,"Cellulose fibre-cement; articles or the like, sheets, panels, tiles and similar articles (other than corrugated sheets), not containing asbestos"
681189,"Cellulose fibre-cement; articles or the like, other than corrugated sheets and other sheets, panels, tiles and similar articles, not containing asbestos"
6812,"Fabricated asbestos fibres; mixtures with a basis of asbestos or of asbestos and magnesium carbonate; articles of such mixtures or of asbestos (e.g. thread, woven fabric, clothing, footwear), whether or not reinforced, not goods of heading 6811 or 6813"
681280,"Fabricated crocidolite (blue asbestos) fibres, mixtures with a basis of crocidolite (blue asbestos), articles of crocidolite (blue asbestos), whether or not reinforced, not goods of heading 6811 or 6813"
681291,"Asbestos or mixtures with a basis of asbestos (other than crocidolite); clothing, clothing accessories, footwear and headgear, whether or not reinforced, not goods of heading 6811 or 6813"
681292,"Asbestos or mixtures with a basis of asbestos (other than crocidolite); paper, millboard and felt, whether or not reinforced, not goods of heading 6811 or 6813"
681293,"Asbestos or mixtures with a basis of asbestos (other than crocidolite); compressed asbestos fibre jointing, in sheets or rolls, whether or not reinforced, not goods of heading 6811 or 6813"
681299,"Asbestos or mixtures with a basis of asbestos (other than crocidolite); fibres, mixtures or articles n.e.c. in heading no. 6812, whether or not reinforced, not goods of heading 6811 or 6813"
6813,"Friction material and articles thereof (e.g. sheets, rolls, strips, segments, discs, washers, pads) not mounted; for brakes, clutches or the like, with a basis of asbestos, other mineral substances, or cellulose"
681320,"Friction material and articles thereof (e.g. sheets, rolls, strips, segments, discs, washers, pads) not mounted; for brakes, clutches or the like, with a basis of asbestos"
681381,Brake linings and pads; with a basis of mineral substances or cellulose (other than asbestos)
681389,"Friction material and articles thereof (e.g. sheets, rolls, strips, segments, discs, washers, pads) not mounted; for clutches or the like (not brake linings and pads), with a basis of mineral substances or cellulose (other than asbestos)"
6814,"Mica; worked, articles of, including agglomerated or reconstituted mica; whether or not on a support of paper, paperboard or other materials"
681410,"Mica; plates, sheets and strips of agglomerated or reconstituted mica, whether or not on a support of paper, paperboard or other materials"
681490,"Mica; worked mica and articles of mica (excluding plates, sheets and strips) whether or not on a support of paper, paperboard or other materials"
6815,"Stone or other mineral substances; articles thereof (including articles of peat), n.e.c. or included"
681510,"Stone articles and other mineral substances, non-electrical articles of graphite or other carbon"
681520,Peat; articles of peat n.e.c. or included
681591,"Stone articles and articles of other mineral substances; containing magnesite, dolomite or chromite"
681599,Stone articles and articles of other mineral substances; n.e.c. or included in heading no. 6815
69,Ceramic products
6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths"
690100,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths"
6902,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; other than those of siliceous fossil meals or similar siliceous earths"
690210,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; containing by weight, singly or together, more than 50% of the elements Mg, Ca or Cr, expressed as MgO, CaO or Cr2o3"
690220,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; containing by weight more than 50% of alumina (Al2o3), of silica (SiO2) or of a mixture or compound of these"
690290,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; n.e.c. in item no. 6902.1 or 6902.2"
6903,"Ceramic goods; (e.g. retorts, crucibles, muffles, nozzles, plugs, supports cupels, tubes, pipes, sheaths, rods) excluding those of siliceous fossil meals or of similar siliceous earths"
690310,"Refractory ceramic goods; containing by weight more than 50% of graphite or other forms of carbon or of a mixture of these products, excluding those of siliceous fossil meals or similar earths"
690320,"Refractory ceramic goods; containing by weight more than 50% of alumina or of a mixture or compound of alumina and of silica, excluding those of siliceous fossil meals or similar earths"
690390,"Refractory ceramic goods; composition of which n.e.c. in heading no. 6903, other than those of siliceous fossil meals or similar earths"
6904,"Ceramic building bricks, floor blocks, support or filler tiles and the like"
690410,Ceramic building bricks
690490,"Ceramic flooring blocks, supports or filler tiles and the like (excluding building bricks)"
6905,"Roofing tiles, chimney-pots, cowls, chimney liners, architectural ornaments and other ceramic constructional goods"
690510,Ceramic roofing tiles
690590,"Ceramic chimney-pots, cowls, chimney liners, architectural ornaments and other constructional goods (excluding roofing tiles)"
6906,"Ceramic pipes, conduits, guttering and pipe fittings"
690600,"Ceramic pipes, conduits, guttering and pipe fittings"
6907,"Ceramic flags and paving, hearth or wall tiles, unglazed; unglazed ceramic mosaic cubes and the like, whether or not on a backing"
690710,"Ceramic tiles, cubes and similar articles; unglazed, whether or not rectangular, the largest surface area of which is capable of being enclosed in a square the side of which is less than 7cm"
690790,Ceramic flags and paving; unglazed
6908,"Ceramic flags and paving, hearth or wall tiles, glazed; glazed ceramic mosaic cubes and the like, whether or not on a backing"
690810,"Ceramic tiles, cubes and similar articles; glazed, whether or not rectangular or on a backing, with the largest surface area less than a 7cm square"
690890,Ceramic flags and pavings; glazed
