level3,level3_es,level3_short
209507,"Cañas de pescar, anzuelos y demás artículos para la pesca con caña; salabardos, cazamariposas y redes similares; señuelos (excepto los de las partidas 9208 o 9705) y artículos de caza similares","Cañas de pescar, salabardos y demás artículos de pesca y cazamariposas"
74012,"Neumáticos (llantas neumáticas) recauchutados o usados, de caucho; bandajes (llantas macizas o huecas), bandas de rodadura para neumáticos (llantas neumáticas) y protectores (flaps), de caucho",Neumáticos y flaps de caucho
168404,"Aparatos auxiliares para las calderas de las partidas 8402 u 8403 (por ejemplo: economizadores, recalentadores, deshollinadores o recuperadores de gas); condensadores para máquinas de vapor",Aparatos para calderas y condensadores
84107,"Cueros preparados después del curtido o del secado y cueros y pieles apergaminados, de bovino (incluido el búfalo) o equino, depilados, incluso divididos (excepto los de la partida 4114)",Cueros preparados de bovino o equino
62920,"Ésteres de los demás ácidos inorgánicos de los no metales (excepto de los ésteres de halogenuros de hidrógeno) y sus sales; sus derivados halogenados, sulfonados, nitrados o nitrosados",Ésteres de otros ácidos inorgánicos de no metales y sus derivados
116002,"Tejidos de punto de anchura inferior o igual a 30 cm, con un contenido de hilados de elastómeros o de hilos de caucho superior o igual al 5 % en peso (excepto los de la partida 6001)","Tejidos de punto de anchura inferior a 30 cm, con hilados de elastómeros o caucho"
137005,"Vidrio flotado y vidrio desbastado o pulido por una o las dos caras, en placas u hojas, incluso con capa absorbente, reflectante o antirreflectante, pero sin trabajar de otro modo","Vidrio flotado, desbastado o pulido"
168473,"Partes y accesorios (excepto los estuches, fundas y similares) identificables como destinados, exclusiva o principalmente, a las máquinas o aparatos de las partidas 8469 a 8472",Partes y accesorios de máquinas de oficina
189024,"Máquinas y aparatos para ensayos de dureza, tracción, compresión, elasticidad u otras propiedades mecánicas de materiales (por ejemplo: metal, madera, textil, papel, plástico)",Máquinas y aparatos para ensayos de mecánica de materiales
136815,"Manufacturas de piedra o demás materias minerales, incluidas las fibras de carbono y sus manufacturas y las manufacturas de turba, no expresadas ni comprendidas en otra parte",Manufacturas de piedra o demás materias minerales
116004,"Tejidos de punto de anchura superior a 30 cm, con un contenido de hilados de elastómeros o de hilos de caucho superior o igual al 5 % en peso (excepto los de la partida 6001)",Tejidos de punto de anchura superior a 30 cm
157418,"Artículos de uso doméstico, higiene o tocador, y sus partes, de cobre; esponjas, estropajos, guantes y artículos similares para fregar, lustrar o usos análogos, de cobre","Artículos de uso doméstico (esponjas, guantes) de cobre "
189010,"Aparatos y material para laboratorios fotográfico o cinematográfico, no expresados ni comprendidos en otra parte de este capítulo; negatoscopios; pantallas de proyección","Aparatos y material para laboratorios fotográfico o cinematográfico, pantallas de proyección"
62842,"Las demás sales de los ácidos o peroxoácidos inorgánicos (incluidos los aluminosilicatos, aunque no sean de constitución química definida), excepto los aziduros (azidas)",Otras sales de ácidos o peroxoácidos inorgánicos
168484,"Juntas metaloplásticas; surtidos de juntas o empaquetaduras de distinta composición presentados en bolsitas, sobres o envases análogos; juntas mecánicas de estanqueidad",Juntas metaloplásticas en bolsas y sobres.
126704,"Pelucas, barbas, cejas, pestañas, mechones y artículos análogos, de cabello, pelo o materia textil; manufacturas de cabello no expresadas ni comprendidas en otra parte",Manufacturas de cabello (pelucas y artículos análogos)
10305,"Pescado seco, salado o en salmuera; pescado ahumado, incluso cocido antes o durante el ahumado; harina, polvo y pellets de pescado, aptos para la alimentación humana","Pescado seco, ahumado y harina de pescado para alimentación humana"
116115,"Calzas, panty-medias, leotardos, medias, calcetines y demás artículos de calcetería, incluso de compresión progresiva (por ejemplo, medias para varices), de punto","Calzas, medias, calcetines de punto."
10209,"Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados","Grasa de cerdo o ave, frescos, secos, congelados o ahumados"
189205,"Instrumentos musicales de viento (por ejemplo: órganos de tubos y teclado, acordeones, clarinetes, trompetas, gaitas), excepto los orquestriones y los organillos",Instrumentos musicales de viento
178802,"Las demás aeronaves (por ejemplo: helicópteros, aviones); vehículos espaciales, incluidos los satélites, y sus vehículos de lanzamiento y vehículos suborbitales","Helicópteros, aviones, vehículos espaciales y satélites, y sus vehículos de lanzamiento."
168476,"Máquinas automáticas para la venta de productos [por ejemplo: sellos (estampillas), cigarrillos, alimentos, bebidas], incluidas las máquinas de cambiar moneda",Máquinas automáticas para la venta de productos
168477,"Máquinas y aparatos para trabajar caucho o plástico o para fabricar productos de estas materias, no expresados ni comprendidos en otra parte de este capítulo",Máquinas y aparatos para trabajar caucho o plástico
116217,"Los demás complementos (accesorios) de vestir confeccionados; partes de prendas o de complementos (accesorios), de vestir (excepto las de la partida 6212)",Otros complementos de vestir 
168428,"Las demás máquinas y aparatos de elevación, carga, descarga o manipulación (por ejemplo: ascensores, escaleras mecánicas, transportadores, teleféricos)","Otras máquinas y aparatos de elevación y carga (ascensores, escaleras mecánicas, transportadores)"
84407,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada, lijada o unida por los extremos, de espesor superior a 6 mm",Madera aserrada o desbastada longitudinalmente
21106,"Harina, sémola y polvo de las hortalizas de la partida 0713, de sagú o de las raíces o tubérculos de la partida 0714 o de los productos del capítulo 8","Harina, sémola y polvo de hortalizas, raíces y tubérculos"
52621,"Las demás escorias y cenizas, incluidas las cenizas de algas; cenizas y residuos procedentes de la incineración de desechos y desperdicios municipales",Otras escorias y cenizas procedentes de incineración de desechos
73920,"Las demás placas, láminas, hojas y tiras, de plástico no celular y sin refuerzo, estratificación ni soporte o combinación similar con otras materias","Otras placas, láminas y hojas de plástico no celular"
74015,"Prendas de vestir, guantes, mitones y manoplas y demás complementos (accesorios), de vestir, para cualquier uso, de caucho vulcanizado sin endurecer",Prendas de vestir y guantes de caucho vulcanizado sin endurecer
137003,"Vidrio colado o laminado, en placas, hojas o perfiles, incluso con capa absorbente, reflectante o antirreflectante, pero sin trabajar de otro modo","Vidrio colado o laminado en placas, hojas o perfiles"
115804,"Tul, tul-bobinot y tejidos de mallas anudadas; encajes en pieza, en tiras o en aplicaciones (excepto los productos de las partidas 6002 a 6006)","Tul, tejidos de mallas anudadas y encajes."
189031,"Instrumentos, máquinas y aparatos para medida o control, no expresados ni comprendidos en otra parte de este capítulo; proyectores de perfiles",Instrumentos y aparatos para medida o control
42005,"Las demás hortalizas preparadas o conservadas (excepto en vinagre o en ácido acético), sin congelar, excepto los productos de la partida 2006","Otras hortalizas preparadas o conservadas (excepto vinagres), sin congelar"
189207,"Instrumentos musicales en los que el sonido se produzca o tenga que amplificarse eléctricamente (por ejemplo: órganos, guitarras, acordeones)",Instrumentos musicales de amplificación eléctrica
42208,"Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico inferior al 80 % vol; aguardientes, licores y demás bebidas espirituosas","Alcohol etílico, aguardientes y demás bebidas espirituosas"
84106,"Cueros y pieles depilados de los demás animales y pieles de animales sin pelo, curtidos o crust, incluso divididos pero sin otra preparación","Cueros y pieles depilados de otros animales, curtidos"
157306,"Los demás tubos y perfiles huecos (por ejemplo: soldados, remachados, grapados o con los bordes simplemente aproximados), de hierro o acero",Otros tubos y perfiles huecos de hierro o acero
42004,"Las demás hortalizas preparadas o conservadas (excepto en vinagre o en ácido acético), congeladas, excepto los productos de la partida 2006","Otras hortalizas preparadas o conservadas (excepto vinagres), congeladas"
157305,"Los demás tubos (por ejemplo: soldados o remachados) de sección circular con diámetro exterior superior a 406,4 mm, de hierro o acero","Otros tubos de acero, de diámetro superior a 406,4 mm"
84104,"Cueros y pieles curtidos o crust, de bovino, incluido el búfalo, o de equino, depilados, incluso divididos pero sin otra preparación","Cueros y pieles curtidos o depilados, de bovino y equino"
168504,"Transformadores eléctricos, convertidores eléctricos estáticos (por ejemplo: rectificadores) y bobinas de reactancia (autoinducción)",Transformadores eléctricos
74006,"Las demás formas (por ejemplo: varillas, tubos, perfiles) y artículos (por ejemplo: discos, arandelas), de caucho sin vulcanizar","Otras formas y artículos (varillas, discos) de caucho sin vulcanizar"
116306,"Toldos de cualquier clase; tiendas (carpas), velas para embarcaciones, deslizadores o vehículos terrestres; artículos de acampar","Toldos, carpas, velas y artículos de acampar"
168527,"Aparatos receptores de radiodifusión, incluso combinados en la misma envoltura con grabador o reproductor de sonido o con reloj",Aparatos receptores de radiodifusión
62923,"Sales e hidróxidos de amonio cuaternario; lecitinas y demás fosfoaminolípidos, aunque no sean de constitución química definida","Sales e hidróxidos de amonio cuaternario, fosfoaminolípidos"
158211,"Cuchillos con hoja cortante o dentada, incluidas las navajas de podar, y sus hojas (excepto los artículos de la partida 8208)",Cuchillos y sus hojas
42403,"Los demás tabacos y sucedáneos del tabaco, elaborados; tabaco «homogeneizado» o «reconstituido»; extractos y jugos de tabaco",Otros tabacos y sucedáneos de tabaco elaborados
116005,"Tejidos de punto por urdimbre, incluidos los obtenidos en telares de pasamanería (excepto los de las partidas 6001 a 6004)",Tejidos de punto por urdimbre
62835,"Fosfinatos (hipofosfitos), fosfonatos (fosfitos) y fosfatos; polifosfatos, aunque no sean de constitución química definida","Fosfinatos, fosfonatos, fosfatos y polifosfatos"
168522,"Partes y accesorios identificables como destinados, exclusiva o principalmente, a los aparatos de la partida 8519 u 8521",Partes y accesorios destinados a 
168509,"Aparatos electromecánicos con motor eléctrico incorporado, de uso doméstico, excepto las aspiradoras de la partida 8508","Aparatos electromecánicos con motor, de uso doméstico"
74009,"Tubos de caucho vulcanizado sin endurecer, incluso con sus accesorios [por ejemplo: juntas, codos, empalmes (racores)]",Tubos de caucho vulcanizado sin endurecer
62852,"Compuestos inorgánicos u orgánicos de mercurio, aunque no sean de constitución química definida, excepto las amalgamas","Compuestos de mercurio, excepto amalgamas"
168519,Aparatos de grabación de sonido; aparatos de reproducción de sonido; aparatos de grabación y reproducción de sonido,Aparatos de grabación y reproducción de sonido
62934,"Ácidos nucleicos y sus sales, aunque no sean de constitución química definida; los demás compuestos heterocíclicos","Ácidos nucleicos y sus sales, compuestos heterocíclicos"
168478,"Máquinas y aparatos para preparar o elaborar tabaco, no expresados ni comprendidos en otra parte de este capítulo",Máquinas y aparatos para preparar tabaco
63815,"Iniciadores y aceleradores de reacción y preparaciones catalíticas, no expresados ni comprendidos en otra parte",Aceleradores catalíticos
168479,"Máquinas y aparatos mecánicos con función propia, no expresados ni comprendidos en otra parte de este capítulo","Máquinas y aparatos mecánicos con función propia, no comprendidos en otra parte"
52620,"Escorias, cenizas y residuos (excepto los de la siderurgia), que contengan metal, arsénico, o sus compuestos","Escorias, cenizas y residuos que no contengan metal o arsénico"
178907,"Los demás artefactos flotantes (por ejemplo: balsas, depósitos, cajones, incluso de amarre, boyas y balizas)","Otros artefactos flotantes (balsas, boyas)"
137019,"Fibra de vidrio, incluida la lana de vidrio, y manufacturas de esta materia (por ejemplo: hilados, tejidos)",Fibra de vidrio y manufacturas de fibra de vidrio
157307,"Accesorios de tubería [por ejemplo: empalmes (rácores), codos, manguitos], de fundición, de hierro o acero",Accesorios de tubería de hierro o acero
168510,"Afeitadoras, máquinas de cortar el pelo o esquilar y aparatos de depilar, con motor eléctrico incorporado",Afeitadoras y depiladoras con motor eléctrico
62811,Los demás ácidos inorgánicos y los demás compuestos oxigenados inorgánicos de los elementos no metálicos,Otros ácidos inorgánicos y compuestos oxigenados inorgánicos de elementos no metálicos
158202,Sierras de mano; hojas de sierra de cualquier clase (incluidas las fresas sierra y las hojas sin dentar),Sierras de mano y sus hojas
63823,Ácidos grasos monocarboxílicos industriales; aceites ácidos del refinado; alcoholes grasos industriales,Ácidos grasos y aceites industriales
178713,"Sillones de ruedas y demás vehículos para inválidos, incluso con motor u otro mecanismo de propulsión",Sillas de rueda y demás vehículos para inválidos
31501,"Grasa de cerdo (incluida la manteca de cerdo) y grasa de ave, excepto las de las partidas 0209 o 1503","Grasa de cerdo o ave, incluida manteca"
168463,"Las demás máquinas herramienta para trabajar metal o cermet, que no trabajen por arranque de materia","Otras máquinas para trabajar metal o cermet, no por arranque de materia"
73926,Las demás manufacturas de plástico y manufacturas de las demás materias de las partidas 3901 a 3914,Otras manufacturas de plástico
73912,"Celulosa y sus derivados químicos, no expresados ni comprendidos en otra parte, en formas primarias","Celulosa y sus derivados químicos, en formas primarias"
116001,"Terciopelo, felpa, incluidos los tejidos de punto «de pelo largo», y tejidos con bucles, de punto","Terciopelo, felpa y tejidos con bucles"
116003,"Tejidos de punto de anchura inferior o igual a 30 cm, (excepto los de las partidas 6001 o 6002)",Tejidos de punto de anchura inferior a 30 cm
10302,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304),Pescado fresco o refrigerado (excepto filetes)
168467,"Herramientas neumáticas, hidráulicas o con motor incorporado, incluso eléctrico, de uso manual","Herramientas neumáticas, hidráulicas o con motor, de uso manual"
73924,"Vajilla, artículos de cocina o de uso doméstico y artículos de higiene o tocador, de plástico","Vajilla y artículos de uso doméstico, de plástico"
52523,"Cementos hidráulicos (comprendidos los cementos sin pulverizar o clinker), incluso coloreados",Cementos hidráulicos
10207,"Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados","Carne de aves, frescos, refrigerados o congelados"
21301,"Goma laca; gomas, resinas, gomorresinas y oleorresinas (por ejemplo: bálsamos), naturales","Gomas, resinas y oleorresinas, naturales"
31502,"Grasa de animales de las especies bovina, ovina o caprina, excepto las de la partida 1503","Grasa de especies bovina, ovina o caprina"
189011,"Microscopios ópticos, incluso para fotomicrografía, cinefotomicrografía o microproyección",Microscopios ópticos
73925,"Artículos para la construcción, de plástico, no expresados ni comprendidos en otra parte","Artículos de construcción, de plástico"
136807,"Manufacturas de asfalto o de productos similares (por ejemplo: pez de petróleo, brea)",Manufacturas de asfalto o similares
10405,Mantequilla (manteca) y demás materias grasas de la leche; pastas lácteas para untar,Materias grasas de leche y pastas lácteas para untar (mantequilla)
189202,"Los demás instrumentos musicales de cuerda (por ejemplo: guitarras, violines, arpas)",Otros instrumentos musicales de cuerda
10303,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304),Pescado congelado (excepto filetes)
157412,"Accesorios de tubería [por ejemplo: empalmes (rácores), codos o manguitos] de cobre",Accesorios de tubería de cobre
116307,"Los demás artículos confeccionados, incluidos los patrones para prendas de vestir",Otros artículos confeccionados
10401,"Leche y nata (crema), sin concentrar, sin adición de azúcar ni otro edulcorante",Leche sin concentrar
20602,"Las demás plantas vivas (incluidas sus raíces), esquejes e injertos; micelios","Otras plantas vivas, esquejes, micelios"
21201,"Habas (porotos, frijoles, fréjoles) de soja (soya), incluso quebrantadas",Porotos de soya
62933,Compuestos heterocíclicos con heteroátomo(s) de nitrógeno exclusivamente,Compuestos nitrogenados
20713,"Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas",Hortalizas de vaina
62830,"Sulfuros; polisulfuros, aunque no sean de constitución química definida",Sulfuros
