"","attributes(casen_2015)$variable.labels"
"s28","s28. Durante los últimos 12 meses, ¿ha estado en tratamiento médico por...?"
"s29","s29. Este tratamiento médico, ¿fue cubierto por el sistema AUGE-GES?"
"s30","s30. ¿Por qué este tratamiento médico no fue cubierto por el sistema AUGE-GES?"
"s31c1","s31c1. ¿Tiene Ud. alguna de las siguientes condiciones permanentes y/ o de larga duración? (1)"
"s31c2","s31c2. ¿Tiene Ud. alguna de las siguientes condiciones permanentes y/ o de larga duración? (2)"
"s31c3","s31c3. ¿Tiene Ud. alguna de las siguientes condiciones permanentes y/ o de larga duración? (3)"
"s32a","s32a. Dificultad para: Concentrarse y recordar cosas?"
"s32b","s32b. Dificultad para: Participar de alguna actividad recreativa y/o de participación social de acuerdo a su edad?"
"s32c","s32c. Dificultad para: Aprender nuevas tareas, como por ejemplo llegar a un lugar nuevo?"
"s32d","s32d. Dificultad para: Desempeñarse en sus estudios, trabajo o actividad productiva?"
"s32e","s32e. Dificultad para: Desplazarse o moverse debido a obstáculos físicos del entorno?"
"s32f","s32f. Dificultad para: Relacionarse con personas que no conoce?"
"s32g","s32g. Dificultad para: Establecer y mantener relaciones personales y familiares"
"s33a","s33a. Dificultad para: Comer (incluyendo cortar comida y llenar los vasos)?"
"s33b","s33b. Dificultad tiene para: Bañarse (incluyendo entrar y salir de la tina)?"
"s33c","s33c. Dificultad tiene para: Moverse/ desplazarse dentro de la casa?"
"s33d","s33d. Dificultad tiene para: Utilizar el W.C. o retrete?"
"s33e","s33e. Dificultad tiene para: Acostarse y levantarse de la cama?"
"s33f","s33f. Dificultad tiene para: Vestirse?"
"s34_1a","s34_1a. Dificultad para: Comer (incluyendo cortar comida y llenar los vasos)?"
"s34_2a","s34_2a. Ayuda para: Comer (incluyendo cortar comida y llenar los vasos)?"
"s34_1b","s34_1b. Dificultad para: Bañarse (incluyendo entrar y salir de la tina)?"
"s34_2b","s34_2b. Ayuda de otra persona para: Bañarse (incluyendo entrar y salir de la tina)?"
"s34_1c","s34_1c. Dificultad para: Moverse/ desplazarse dentro de la casa?"
"s34_2c","s34_2c. Ayuda de otra persona para: Moverse/ desplazarse dentro de la casa?"
"s34_1d","s34_1d. Dificultad para: Utilizar el W.C. o retrete?"
"s34_2d","s34_2d. Ayuda de otra persona para: Utilizar el W.C. o retrete?"
"s34_1e","s34_1e. Dificultad para: Acostarse y levantarse de la cama?"
"s34_2e","s34_2e. Ayuda de otra persona para: Acostarse y levantarse de la cama?"
"s34_1f","s34_1f. Dificultad para: Vestirse?"
"s34_2f","s34_2f. Ayuda de otra persona para: Vestirse?"
"s34_1g","s34_1a. Dificultad para: Salir a la calle?"
"s34_2g","s34_2g. Ayuda de otra persona para: Salir a la calle?"
"s34_1h","s34_1b. Dificultad para: Hacer compras o ir al médico?"
"s34_2h","s34_2h. Ayuda de otra persona para: Hacer compras o ir al médico?"
"s34_1i","s34_1c. Dificultad para: Realizar sus tareas del hogar?"
"s34_2i","s34_2i. Ayuda de otra persona para: Realizar sus tareas del hogar?"
"s34_1j","s34_1d. Dificultad para: Hacer o recibir llamadas?"
"s34_2j","s34_2j. Ayuda de otra persona para: Hacer o recibir llamadas?"
"ch4","Ch4. Chequeo de situación de dependencia"
"s35a","s35a. Debido a su estado de salud, ¿alguna persona del hogar le presta ayuda para realizar esta(s) actividad(es)?"
"s35b","s35.b. ¿Quién? Registre ""orden"" del cuidador principal"
"s35c","s35.c. ¿Y alguna persona externa al hogar le presta ayuda con estas actividades debido a su estado de salud?"
"s0","s0. ¿Quién (o quiénes) responde(n) el módulo Salud?"
"r1a","r1a. ¿Cuál es la nacionalidad?"
"r1aesp_cod","r1aesp_cod. ¿Cuál es esa otra nacionalidad? (Código País)"
"r1a_esp","r1aesp. ¿Cuál es esa otra nacionalidad?"
"r1b","r1b. Cuando usted nació, ¿en qué comuna o país vivía su madre?"
"r1bespc_cod","r1bespc_cod. Especificar código comuna (Código comuna)"
"r1bespp_cod","r1bespp_cod. Especificar código país (Código País)"
"r1b_esp","r1besp. Especifique ¿cuál comuna o país?"
"r1c_año","r1c. ¿En qué año llegó Ud. al país?"
"r1cp","r1cp. ¿En qué período llegó Ud. al país?"
"r2","r2. ¿En qué comuna o país vivía hace 5 años (2010)?"
"r2_esp","r2esp. ¿En qué otra comuna o país vivía hace 5 años (2010)?"
"r2espc_cod","r2espc_cod. ¿En qué comuna vivía hace 5 años (2010)? (Códigos)"
"r2espp_cod","r2espp_cod. ¿En qué país vivía hace 5 años (2010)? (Códigos)"
"r3","r3. En Chile, la ley reconoce nueve pueblos indígenas, ¿pertenece usted o es descendiente de alguno de ellos?"
"r4","r4. ¿Habla o entiende algunas de las siguientes lenguas: Aimara, Rapa-Nui, Quechua, Mapudungun, Kawashkar o Yagán?"
"r5","r5. ¿Cuál lengua habla o entiende?"
"r6","r6. En los últimos 12 meses, ¿ha participado en alguna de las siguientes organizaciones o grupo organizado?"
"r6_esp","r6esp. En los últimos 12 meses, ¿En qué otra organización o grupo ha participado? Especifique"
"r7a","r7a. ¿Alguien en su hogar, conoce a una persona que: Pueda ayudar en el cuidado en caso de enfermedad de algún miembro del hogar?"
"r7b","r7b. ¿Alguien en su hogar, conoce a una persona que: Pueda ayudar en el cuidado de niños(as) o personas en situación de discapacidad o dependientes en el hogar?"
"r7c","r7c. ¿Alguien en su hogar, conoce a una persona que: Pueda facilitar un vehículo si el hogar lo necesita?"
"r7d","r7d. ¿Alguien en su hogar, conoce a una persona que: Pueda prestar dinero al hogar en caso de emergencia?"
"r7e","r7e. ¿Alguien en su hogar, conoce a una persona que: Pueda ayudar al hogar a resolver consultas o realizar trámites legales o financieros?"
"r7f","r7f. ¿Alguien en su hogar, conoce a una persona que: Pueda ayudar al hogar en el uso de tecnologías (computador, internet, etc.)?"
"r7g","r7g. ¿Alguien en su hogar, conoce a una persona que: Pueda ayudar con reparaciones del hogar (gasfitería, mecánica, albañilería o artículos eléctricos)?"
"r7h","r7h. ¿Alguien en su hogar, conoce a una persona que: Pueda ayudar a conseguir un trabajo a algún miembro del hogar (servir de referencias, información o contratar)?"
"r7i","r7i. ¿Alguien en su hogar, conoce a una persona que: Pueda aconsejar a los miembros del hogar en caso de problemas personales o familiares.?"
"r7j","r7j. ¿Alguien en su hogar, conoce a una persona que: Pueda hablar o escribir en otro idioma?"
"r7k","r7k. ¿Alguien en su hogar, conoce a una persona que: Tenga educación profesional universitaria?"
"r8a","r8a. Discriminado por nivel socioeconómico"
"r8b","r8b. Discriminado por ser mujer/ser hombre"
"r8c","r8c. Discriminado por su estado civil"
"r8d","r8d. Discriminado por su ropa"
"r8e","r8e. Discriminado por su color de piel"
"r8f","r8f. Discriminado por ser extranjero"
"r8g","r8g. Discriminado por su edad"
"r8h","r8h. Discriminado por su orientación sexual o identidad de género"
"r8i","r8i. Discriminado por tener tatuajes, piercing, perforaciones o expansiones"
"r8j","r8j. Discriminado por su apariencia física"
"r8k","r8k. Discriminado por sus creencias o religión"
"r8l","r8l. Discriminado por su ideología u opinión política"
"r8m","r8m. Discriminado por participar o no en sindicatos u organizaciones gremiales"
"r8n","r8n. Discriminado por el lugar donde vive"
"r8o","r8o. Discriminado por el establecimiento donde estudió"
"r8p","r8p. Discriminado por pertenecer a un pueblo indígena"
"r8q","r8q. Discriminado por su condición de salud o discapacidad"
"r8r","r8r. Discriminado por otro"
"r8r_esp","r8r_esp. ¿Ha sido tratado injustamente o discriminado, fuera de su hogar debido a: Especifique?"
"r8resp_cod","r8resp_cod. ¿Ha sido tratado injustamente o discriminado, fuera de su hogar debido a: Especifique? (código)"
"r8s","r8s. No ha sido tratado injustamente o discriminado"
"r9","r9. Durante sus primeros 15 años de vida, ¿vivió la mayor parte del tiempo con alguno de sus padres?"
"r10a","r10a. ¿Cuál fue el nivel de educación más alto alcanzado por su madre (o figura materna)?"
"r10b","r10b. ¿Cuál fue el nivel de educación más alto alcanzado por su padre (o figura paterna)?"
"r11a","r11a. En ese nivel educacional, ¿cuál fue el último curso que aprobó su madre (o figura materna)?"
"r11b","r11b. En ese nivel educacional, ¿cuál fue el último curso que aprobó su padre (o figura paterna)?"
"r12","r12. ¿Algún miembro de su núcleo es dueño de algún vehículo de uso laboral o particular, en uso y funcionamiento?"
"r13a","r13a. Su núcleo, ¿cuántos vehículos de uso laboral tiene en uso y en funcionamiento?"
"r13b","r13b. Su núcleo, ¿cuántos vehículos de uso particular tiene en uso y en funcionamiento?"
"r14a","r14a. Su núcleo, ¿tiene en uso y en funcionamiento: Calefón (caldera eléctrica, calefactor solar, calefón a gas)?"
"r14b","r14b. Su núcleo, ¿tiene en uso y en funcionamiento: Teléfono fijo?"
"r14c","r14c. Su núcleo, ¿tiene en uso y en funcionamiento: Televisión pagada (TV Cable"
"r14d","r14d. Su núcleo, ¿tiene en uso y en funcionamiento: Computador (PC, netbook,laptop, tablet?"
"r14e","r14e. Su núcleo, ¿tiene en uso y en funcionamiento: Smart TV o Televisión con internet?"
"r15a","r15a. ¿Tiene Ud. o algún miembro del hogar acceso a: Banda ancha fija contratada?"
"r15b","r15b. ¿Tiene Ud. o algún miembro del hogar acceso a: Banda ancha fija prepago?"
"r15c","r15c. ¿Tiene Ud. o algún miembro del hogar acceso a: Banda ancha móvil (Modem, USB), contratado?"
"r15d","r15d. ¿Tiene Ud. o algún miembro del hogar acceso a: Banda ancha móvil (Modem, USB), prepago?"
"r15e","r15e. ¿Tiene Ud. o algún miembro del hogar acceso a: Teléfono móvil con internet (Smartphone)?"
"r15f","r15f. ¿Tiene Ud. o algún miembro del hogar acceso a: Tablet u otro dispositivo con Internet?"
"r16","r16. ¿Cuál es la razón principal por la que no tiene conexión a Internet en su vivienda?"
"r17","r17. ¿Dónde utiliza más frecuentemente Internet?"
"r18","r18. ¿Con qué frecuencia usa Internet?"
"r19a","r19a. ¿Usó Internet en los últimos 12 meses para: Obtener información utilizando buscadores como Google y otros?"
"r19b","r19b. ¿Usó Internet en los últimos 12 meses para: Comunicación por mail o correo electrónico?"
"r19c","r19c. ¿Usó Internet en los últimos 12 meses para: Comunicación por redes sociales como Facebook, Twitter y otros?"
"r19d","r19d. ¿Usó Internet en los últimos 12 meses para: Entretenimiento (videojuegos, películas, música?"
"r19e","r19e. ¿Usó Internet en los últimos 12 meses para: Compra y venta de artículos y/o servicios por internet"
"r19f","r19f. ¿Usó Internet en los últimos 12 meses para: Operaciones de banca electrónica como revisión de estados de cuentas y transferencias electrónicas?"
"r19g","r19g. ¿Usó Internet en los últimos 12 meses para Actividades de educación formal y capacitación como cursos en línea o bajar material de cursos de páginas web de universidades, institutos u otros?"
"r19h","r19h. ¿Usó Internet en los últimos 12 meses para: Trámites en línea con instituciones del Estado como certificados de nacimiento u otros con instituciones públicas?"
"r20","r20. ¿Tiene Ud. teléfono móvil en funcionamiento y en uso?"
"r21","r21. ¿Cuál de estas alternativas define mejor su orientación sexual?"
"r21_esp","r21esp. ¿Qué otra alternativa define su orientación sexual?"
"r22","r22. En cuanto a su género, ¿usted se identifica como?"
"r22_esp","r22esp. En cuanto a su género, ¿usted se identifica como? Especifique"
"r0","r0. ¿Quién (o quiénes) responde(n) el módulo residentes?"
"v1","v1. ¿Cuál es el tipo de vivienda que ocupa el entrevistado?"
"v2","v2. ¿Cuál es el material que predomina en los muros exteriores de la vivienda?"
"v3","v3. ¿Cómo diría usted que es el estado de conservación de los muros?"
"v4","v4. ¿Cuál es el material que predomina en el piso de la vivienda?"
"v5","v5. ¿Cómo diría usted que es el estado de conservación del piso de la vivienda?"
"v6","v6. ¿Cuál es el material que predomina en el techo de la vivienda?"
"v7","v7. ¿Cómo diría usted que es el estado de conservación del techo de la vivienda?"
"v8","v8. ¿Cuántas viviendas hay en el sitio?"
"v9","v9. Su hogar, ¿bajo qué situación ocupa el sitio?"
"v10","v10. ¿Cuál es la situación del título de propiedad o título de dominio de este sitio o inmueble?"
"v11","v11. ¿Cuántos metros cuadrados tiene la vivienda?"
"v11mt","v11mt. ¿Cuántos metros cuadrados tiene la vivienda? (Estimación)"
"v11c","v11c. ¿Cuántos metros cuadrados tiene la vivienda?"
"v12","v12. Su hogar, ¿bajo qué situación ocupa la vivienda?"
"v13","v13. ¿Algún miembro de este hogar es dueño de esta vivienda?"
"v14","v14. ¿Qué miembro del hogar es el propietario de esta vivienda?"
"v15","v15. ¿En qué año compró o recibió la vivienda o el subsidio?"
"v16","v16. ¿Compró la vivienda con ayuda de algún programa habitacional o subsidio del Estado?"
"v17","v17. ¿Compró la vivienda con crédito hipotecario?"
"v18","v18. ¿Está pagando su crédito hipotecario actualmente?"
"v19","v19. ¿Cuánto paga (o debería pagar) de dividendo?"
"v20","v20. ¿Cuántos años le faltan para terminar de pagar su crédito hipotecario?"
"v21","v21. Su hogar, ¿cuánto paga de arriendo?"
"v22","v22. ¿Cuánto se paga de arriendo en este sector por viviendas similares a la suya?"
"v23","v23. ¿De dónde proviene el agua de la vivienda?"
"v23_esp","v23_esp. ¿Cuál es esa otra fuente del agua?"
"v24","v24. ¿Cuál es el sistema de distribución del agua en la vivienda?"
"v25","v25. La vivienda donde usted vive, ¿dispone de sistema de eliminación de excretas?"
"v26","v26. La vivienda donde usted vive, ¿dispone de energía eléctrica?"
"v26_esp","v26_esp. ¿Cuál es esa otra fuente de energía eléctrica?"
"v27","v27. Durante los últimos dos años (2013-2015), ¿ha realizado mejoras o transformaciones en la vivienda?"
"v28","v28. ¿Cómo financió principalmente esa mejora o transformación?"
"v29a","v29a. ¿Cuántas piezas de cada tipo tiene la vivienda?: Dormitorios (uso exclusivo para dormir)"
"v29b","v29b. ¿Cuántas piezas de cada tipo tiene la vivienda?: Baño"
"v30","v30. ¿Cuántos hogares hay en la vivienda?"
"v31","v31. ¿Su hogar es el principal de la vivienda?"
"v32a","v32a. ¿Cuántas piezas de cada tipo ocupa su hogar en esta vivienda?: Dormitorios (uso exclusivo para dormir)"
"v32b","v32b. ¿Cuántas piezas de cada tipo ocupa su hogar en esta vivienda?: Baño"
"v33","v33. ¿Cuál es la principal razón para compartir esta vivienda con otro hogar?"
"v33_esp","v33_esp. ¿Cuál es esa otra razón para compartir esta vivienda con otro hogar?"
"v34","v34. ¿Está haciendo algo para vivir en una vivienda exclusiva para su hogar?"
"v35","v35. ¿Algún miembro de este hogar es propietario de otra vivienda?"
"v36a","v36a. ¿Qué combustible o fuente de energía usa habitualmente para: Cocinar ?"
"v36b","v36b. ¿Qué combustible o fuente de energía usa habitualmente para: Calefacción?"
"v36c","v36c. ¿Qué combustible o fuente de energía usa habitualmente para: Sistema de agua caliente?"
"v37a","v37a. Su vivienda se encuentra a: ¿Menos de 8 cuadras o 1 Km de un servicio de transporte público (paradero, estación)?"
"v37b","v37b. Su vivienda se encuentra a: ¿A menos de 20 cuadras o 2,5 Km de un centro educacional (colegio o jardín infantil)?"
"v37c","v37c. Su vivienda se encuentra a: ¿A menos de 20 cuadras o 2,5 Km de un centro de salud (atención primaria o nivel superior)?"
"v37d","v37d. Su vivienda se encuentra a: ¿A menos de 20 cuadras o 2,5 Km de un supermercado, almacén o feria?"
"v37e","v37e. Su vivienda se encuentra a: ¿A menos de 20 cuadras o 2,5 Km de un cajero automático o caja vecina?"
"v37f","v37f. Su vivienda se encuentra a: ¿A menos de 20 cuadras o 2,5 Km de un equipamiento deportivo (centros deportivos, canchas, skatepark)?"
"v37g","v37g. Su vivienda se encuentra a: ¿A menos de 20 cuadras o 2,5 Km de áreas verdes (plazas o parques)?"
"v37h","v37h. Su vivienda se encuentra a: ¿A menos de 20 cuadras o 2,5 Km de equipamiento comunitario (centros vecinales, sedes sociales, biblioteca vecinal o centro cultural comunitario)?"
"v37i","v37i. Su vivienda se encuentra a: ¿A menos de 20 cuadras o 2,5 Km de una farmacia?"
"v38a","v38a. En el último mes, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Rayados u otros daños a casas o vehículos ?"
"v38b","v38b. En el último mes, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Personas consumiendo drogas o alcohol en la vía pública ?"
"v38c","v38c. En el último mes, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Personas traficando drogas en la vía pública ?"
"v38d","v38d. En el último mes, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Personas peleando o amenazándose en la vía pública ?"
"v38e","v38e. En el último mes, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Balaceras o disparos?"
"v39a","v39a. En los últimos 12 meses, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Contaminación acústica o ruidos molestos (tráfico de autos, aviones, maquinaria) ?"
"v39b","v39b. En los últimos 12 meses, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Contaminación del aire y/o malos olores?"
"v39c","v39c. En los últimos 12 meses, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Contaminación en ríos, canales, esteros, lagos, tranques y embalses ?"
"v39d","v39d. En los últimos 12 meses, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Contaminación del agua proveniente de la red pública ?"
"v39e","v39e. En los últimos 12 meses, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Contaminación visual (construcciones, rayados, publicidad) ?"
"v39f","v39f. En los últimos 12 meses, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Acumulación de basura en calles, caminos, veredas o espacios públicos ?"
"v39g","v39g. En los últimos 12 meses, ¿Ud. o alguien de su hogar, ha vivido o presenciado: Plagas de insectos, animales peligrosos o abandonados (termitas, cucarachas, roedores, murciélagos, perros, etc.)?"
"v0a_1","v0a_1. ¿Quién (o quiénes) responde(n) el módulo vivienda?"
"v0a_2","v0a_2. ¿Quién (o quiénes) responde(n) el módulo vivienda?"
"v0a_3","v0a_3. ¿Quién (o quiénes) responde(n) el módulo vivienda?"
"v0b","v0b. ¿Dónde se produce la entrevista?"
"y0101","Asalariados principal - Sueldos y salarios monetario"
"y0301","Asalariados principal - Horas extras"
"y0302","Asalariados principal - Comisiones"
"y0303","Asalariados principal - Propinas"
"y0304","Asalariados principal - Asignación por vivienda, transporte, educación"
"y0305","Asalariados principal - Viáticos no sujetos a rendición"
"y0306","Asalariados principal - Otros ingresos monetarios"
"y0401","Asalariados principal - Bonificaciones o aguinaldos"
"y0402","Asalariados principal - Gratificaciones"
"y0403","Asalariados principal - Décimo tercer mes o meses adicionales"
"y0404","Asalariados principal - Otros similares monetarios"
"y0501","Asalariados principal - Alimentos y bebidas"
"y0502","Asalariados principal - Vales de alimentación"
"y0503","Asalariados principal - Vivienda o alojamiento"
"y0504","Asalariados principal - Vehículo para uso privado"
"y0505","Asalariados principal - Servicio de transporte"
"y0506","Asalariados principal - Estacionamiento gratuito"
"y0507","Asalariados principal - Teléfono"
"y0508","Asalariados principal - Vestimenta"
"y0509","Asalariados principal - Sevicios de guardería o sala cuna"
"y0510","Asalariados principal - Leña"
"y0511","Asalariados principal - Bienes o servicios del empleador"
"y0512","Asalariados principal - Otros similares en especies"
"yids","Indemnizaciones por despido"
"yosa","Ingresos de la ocupación secundaria - Asalariados"
"yta1","Trabajos de antes - Asalariados"
"y0701","Independientes principal - Efectivo"
"y0801","Independientes principal - Especies"
"y0901","Independientes principal - Ventas anuales"
"yac2","Consumo de productos agrícolas"
"y1101","Ingresos del trabajo de Familiar No Remunerado (FNR, desocupados e inactivos)"
"yosi","Ingresos de la ocupación secundaria - Independientes"
"yta2","Trabajos de antes - No asalariados"
"yre1","Arriendos de propiedades urbanas"
"yama","Arriendo de maquinarias y animales"
"yah1","Intereses por depósitos"
"yah2","Dividendo por acciones o bonos financieros"
"yrut","Retiro de utilidades"
"yre2","Arriendos de propiedades agrícolas"
"yre3","Arriendos de propiedades por temporadas"
"y260201","Jubilacion o pension de vejez con APS"
"y260202","Aporte Previsional Solidario de Vejez"
"y2603","Jubilación o pensión de vejez"
"yinv01","Jubilación o pensión de invalidez"
"yinv02","Aporte Previsional Solidario de Invalidez"
"yinv03","Jubilación o pensión de invalidez"
"ymon","Montepío o pensión de viudez"
"yorf","Pensión de orfandad"
"yesp","Pensión por leyes especiales de reparación"
"yotp","Otro tipo de pensión"
"y2601","Pensión básica solidaria de vejez"
"y2604","Pensión básica solidaria de invalidez"
"ymes","Pensión de alimentos"
"yfa1","Dinero de familiares ajenos al hogar - Del país"
"yfa2","Dinero de familiares ajenos al hogar - Del extranjero"
"ydes","Seguro de desempleo o cesantía"
"ydon","Donaciones"
"ydim","Devolución de impuestos"
"yotr","Otros ingresos"
"y2301","Bono base familiar"
"y2401","Subsidio Agua Potable"
"y2501","Aporte familiar permanente (ex bono marzo)"
"y2502","Bono por logro escolar"
"y2503","Bono bodas de oro"
"y2504","Bono de invierno"
"y2505","Subsidio Empleo Joven"
"y2506","Bono al trabajo de la mujer"
"y2507","Otro subsidio del Estado "
"y2302","Bono por control del niño sano"
"y2303","Bono por asistencia escolar"
"y2001","Subsidio familiar al menor o recién nacido"
"y2002","Subsidio de asistencia maternal"
"y2003","Subsidio familiar a la madre"
"y2004","Subsidio familiar por invalidez"
"y2005","Subsidio a la discapacidad mental"
"y2201","Bono de Protección Familiar - Meses 1 a 6"
"y2202","Bono de Protección Familiar - Meses 7 a 12"
"y2203","Bono de Protección Familiar - Meses 13 a 18"
"y2204","Bono de Protección Familiar - Meses 19 a 24"
"y2205","Bono de Egreso - Meses 25 a 60"
"yfam","Asignación familiar"
"ytro","Remuneración por trabajos ocasionales"
"yaut","Ingreso autónomo"
"ysub","Subsidios monetarios"
"ytot","Ingreso total     "
"y0101h","Asalariados principal - Sueldos y salarios monetario"
"y0301h","Asalariados principal - Horas extras"
"y0302h","Asalariados principal - Comisiones"
"y0303h","Asalariados principal - Propinas"
"y0304h","Asalariados principal - Asignación por vivienda, transporte, educación"
"y0305h","Asalariados principal - Viáticos no sujetos a rendición"
"y0306h","Asalariados principal - Otros ingresos monetarios"
"y0401h","Asalariados principal - Bonificaciones o aguinaldos"
"y0402h","Asalariados principal - Gratificaciones"
"y0403h","Asalariados principal - Décimo tercer mes o meses adicionales"
"y0404h","Asalariados principal - Otros similares monetarios"
"y0501h","Asalariados principal - Alimentos y bebidas"
"y0502h","Asalariados principal - Vales de alimentación"
"y0503h","Asalariados principal - Vivienda o alojamiento"
"y0504h","Asalariados principal - Vehículo para uso privado"
"y0505h","Asalariados principal - Servicio de transporte"
"y0506h","Asalariados principal - Estacionamiento gratuito"
"y0507h","Asalariados principal - Teléfono"
"y0508h","Asalariados principal - Vestimenta"
"y0509h","Asalariados principal - Servicios  de guardería o sala cuna"
"y0510h","Asalariados principal - Leña"
"y0511h","Asalariados principal - Bienes o servicios del empleador"
"y0512h","Asalariados principal - Otros similares en especies"
"yosah","Ingresos de la ocupación secundaria - Asalariados"
"ytroh","Remuneración por trabajos ocasionales"
"yta1h","Trabajos de antes - Asalariados"
"y0701h","Independientes principal - Efectivo"
"y0801h","Independientes principal - Especies"
"y0901h","Independientes principal - Ventas anuales"
"yosih","Ingresos de la ocupación secundaria - Independientes"
"yta2h","Trabajos de antes - No asalariados"
"yruth","Retiro de utilidades"
"yac2h","Consumo de productos agrícolas"
"ydesh","Seguro de desempleo o cesantía"
"yidsh","Indemnizaciones por despido"
"yotrh","Otros ingresos"
"y260201h","Jubilación o pensión de vejez con APS"
"y2603h","Jubilación o pensión de vejez"
"yinv01h","Jubilación o pensión de invalidez"
"yinv03h","Jubilacion o pensión de invalidez"
"ymonh","Montepío o pensión de viudez"
"yorfh","Pensión de orfandad"
"yotph","Otro tipo de pensión"
"yre1h","Arriendos de propiedades urbanas"
"yre2h","Arriendos de propiedades agrícolas"
"yre3h","Arriendos de propiedades por temporadas"
"yamah","Arriendo de maquinarias y animales"
"yah1h","Intereses por depósitos"
"yah2h","Dividendo por acciones o bonos financieros"
"ydonh","Donaciones"
"ymesh","Pension de alimentos"
"yfa1h","Dinero de familiares ajenos al hogar - Del país"
"yfa2h","Dinero de familiares ajenos al hogar - Del extranjero"
"y1101h","Ingresos del trabajo de Familiares No Remunerados (FNR), desocupados e inactivos"
"ydimh","Devolución de impuestos"
"yfamh","Asignación familiar"
"y2001h","Subsidio familiar al menor o recién nacido"
"y2002h","Subsidio de asistencia maternal"
"y2003h","Subsidio familiar a la madre"
"y2004h","Subsidio familiar por invalidez"
"y2005h","Subsidio a la discapacidad mental"
"y2201h","Bono de Protección Familiar - Meses 1 a 6"
"y2202h","Bono de Protección Familiar - Meses 7 a 12"
"y2203h","Bono de Protección Familiar - Meses 13 a 18"
"y2204h","Bono de Protección Familiar - Meses 19 a 24"
"y2205h","Bono de Egreso - Meses 25 a 60"
"y2301h","Bono base familiar"
"y2302h","Bono por control del niño sano"
"y2303h","Bono por asistencia escolar"
"y2401h","Subsidio Agua Potable"
"y2501h","Bono Bodas de Oro"
"y2502h","Bono de Invierno"
"y2503h","Bono Marzo"
"y2504h","Bono por logro escolar"
"y2505h","Subsidio Empleo Joven"
"y2506h","Bono al trabajo de la mujer"
"y2507h","Otro subsidio del Estado        "
"y2601h","Pension básica solidaria de vejez"
"y260202h","Aporte Previsional Solidario de Vejez"
"yinv02h","Aporte Previsional Solidario de Invalidez"
"y2604h","Pensión básica solidaria de invalidez"
"yesph","Pensión por leyes especiales de reparación"
"yauth","Ingreso autónomo del hogar"
"ysubh","Subsidios monetarios del hogar"
"ytoth","Ingreso total del hogar"
"yaimh","Alquiler imputado"
"ypch","Ingreso per cápita del hogar "
"y0101c","Asalariados principal - Sueldos y salarios monetario corregido"
"y0701c","Independientes principal - Efectivo corregido"
"y260201c","Jubilación o pensión de vejez con APS corregido"
"y2603c","Jubilación o pensión de vejez corregido"
"y0101ch","Asalariados principal - Sueldos y salarios monetario corregido del hogar"
"y0701ch","Independientes principal - Efectivo corregido del hogar"
"y2603ch","Jubilación o pensión de vejez corregido del hogar"
"y260201ch","Jubilación o pensión de vejez con APS corregido del hogar"
"yaimcorh","Alquiler imputado"
"yautcor","Ingreso autónomo corregido"
"ytotcor","Ingreso total corregido"
"yautcorh","Ingreso autónomo del hogar corregido"
"ymoneCorh","Ingreso Monetario del hogar corregido "
"ytotcorh","Ingreso total del hogar corregido"
"yoprCor","Ingreso Ocupación Principal"
"yoprCorh","Ingreso Ocupación Principal del hogar"
"ytrabajoCor","Ingreso del trabajo"
"ytrabajoCorh","Ingreso del trabajo del hogar"
"ypchautcor","Ingreso per cápita autónomo"
"ypchtot","Ingreso per cápita total"
"ypchtrabajo","Ingreso per cápita del trabajo"
"pobreza","Situación de pobreza por ingresos"
"dau","Decil autónomo nacional"
"dautr","Decil autónomo regional"
"qaut","Quintil autónomo nacional"
"qautr","Quintil autónomo regional"
"expr","Expansión regional"
"expc","Expansión comunas auto_representadas"
"expr_div","Expansión orientación sexual (r21) e identidad de género (r22 )"
"car","Comunas auto representadas"
"varstrat","Estrato de varianza"
"varunit","Conglomerado de varianza"
"fecha_día","fecha_día: fecha entrevista (día)"
"fecha_mes","fecha_mes: fecha entrevista (mes)"
"fecha_año","fecha_año: fecha entrevista (año)"
"numper","Número de personas en el hogar (excluye SDPA)"
"asiste","Asiste"
"esc","Escolaridad"
"educ","Nivel educacional"
"depen","Dependencia"
"activ","Condición de actividad"
"indmat","Indicador de materialidad"
"indsan","Indicador saneamiento"
"calglobviv","Calidad global de la vivienda"
"iai","Allegamiento interno"
"iae","Allegamiento externo"
"hacinamiento","Hacinamiento"
"hh_d_asis","Hogar carente en Asistencia"
"hh_d_rez","Hogar carente en Rezago escolar"
"hh_d_esc","Hogar carente en Escolaridad"
"hh_d_mal","Hogar carente en Malnutrición en niños/as"
"hh_d_prevs","Hogar carente en Adscripción a sistema de salud"
"hh_d_acc","Hogar carente en Atención"
"hh_d_act","Hogar carente en Ocupación"
"hh_d_cot","Hogar carente en Seguridad social"
"hh_d_jub","Hogar carente en Jubilaciones"
